date,year,mo,da,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog
2015-01-01,2015,01,01,19.9,6,1019.3,10,13.7,18.1,27,32,3.9,0,999.9,0
2015-01-02,2015,01,02,25.7,16,1023.3,10,5.1,14.0,19,34,14,0,999.9,0
2015-01-03,2015,01,03,31.5,27,1017.7,5.2,4.6,8.0,999.9,34,15.1,0.09,999.9,0
2015-01-04,2015,01,04,29,26.1,1012.9,3.2,10.3,22.0,27,34,12.9,0.57,2,1
2015-01-05,2015,01,05,2.2,-7.4,1034.9,10,12.4,18.1,24.1,12.9,-2.9,0.04,2,0
2015-01-06,2015,01,06,5.3,-0.9,1028.6,7.4,9.0,20.0,25.1,10,-5.1,0.16,3.1,0
2015-01-07,2015,01,07,3.1,-7.6,1034.1,10,16.5,22.0,28.9,10,-5.1,0.01,3.1,0
2015-01-08,2015,01,08,-2.1,-10.2,1035.1,8.2,13.1,22.0,32.1,10.9,-8,0,3.9,0
2015-01-09,2015,01,09,8.1,-0.5,1022.9,6.7,15.5,24.1,34,18,-8,0.06,3.9,0
2015-01-10,2015,01,10,4.8,-3.9,1030.4,10,10.5,19.0,22,19,-2,0,3.9,0
2015-01-11,2015,01,11,25.8,14.1,1025.1,9.6,9.4,15.0,999.9,32,19,0,3.9,0
2015-01-12,2015,01,12,23.1,16.3,1031.9,6.7,9.1,15.0,999.9,32,15.1,0.19,5.9,1
2015-01-13,2015,01,13,16.9,8.7,1039,8.5,8.9,15.0,20,28,14,0,5.9,0
2015-01-14,2015,01,14,10.5,5.8,1030,9.3,4.4,8.0,999.9,19,1,0,5.1,0
2015-01-15,2015,01,15,22,14.6,1019.9,9.9,8.5,14.0,19,34,1,0,5.1,0
2015-01-16,2015,01,16,28.3,22.4,1019.5,9.8,6.7,11.1,17.1,34,17.1,0,3.9,0
2015-01-17,2015,01,17,34.2,26.6,1010.3,9.4,12.3,21.0,32.1,42.1,23,0,1.2,0
2015-01-18,2015,01,18,36.8,29.5,1007.4,10,11.6,15.9,21,42.1,26.1,0,1.2,0
2015-01-19,2015,01,19,31.8,26.7,1015.5,10,4.3,8.0,999.9,41,25,0,999.9,0
2015-01-20,2015,01,20,33.6,30.3,1012.7,7.5,5.7,14.0,999.9,41,25,0,999.9,0
2015-01-21,2015,01,21,30.9,27.6,1017.3,8.7,7.4,13.0,999.9,36,28.9,0,999.9,0
2015-01-22,2015,01,22,29.9,22.7,1028.4,9.9,5.6,9.9,999.9,33.1,28,0.01,999.9,0
2015-01-23,2015,01,23,29.6,23,1024.1,9.8,9.9,13.0,19,30.9,28,0,999.9,0
2015-01-24,2015,01,24,32.7,26.4,1008.2,9.9,8.2,13.0,15,43,28.9,0,999.9,0
2015-01-25,2015,01,25,31.1,27.5,1008,6.5,10.9,19.0,28,43,26.1,0,1.2,0
2015-01-26,2015,01,26,23.2,15.8,1014.7,9.2,6.6,14.0,999.9,34,15.1,0.08,1.2,0
2015-01-27,2015,01,27,27.4,21.8,1018.7,7,5.6,8.9,999.9,32,15.1,0.07,1.2,0
2015-01-28,2015,01,28,25.8,17.5,1024.1,10,6.3,17.1,20,33.1,19,0,1.2,0
2015-01-29,2015,01,29,33.3,25.2,1012.6,9.3,12.4,20.0,24.1,35.1,19,0.01,1.2,0
2015-01-30,2015,01,30,27,12.5,1029.9,9.9,9.0,15.9,28,35.1,19,0.01,1.2,0
2015-01-31,2015,01,31,27,17.9,1025.9,10,5.9,11.1,999.9,36,18,0,1.2,0
2015-02-01,2015,02,01,29.1,26.8,1016.3,1.7,11.0,22.0,34,36,19,0.35,13,1
2015-02-02,2015,02,02,14.5,8.5,1019,4.9,14.4,21.0,29.9,30.9,6.1,0.65,16.9,1
2015-02-03,2015,02,03,13.5,7.2,1022.4,9.3,6.6,11.1,999.9,24.1,1.9,0.05,16.9,1
2015-02-04,2015,02,04,21.1,16.4,1019.5,6.2,6.8,13.0,999.9,26.1,1.9,0.09,16.1,0
2015-02-05,2015,02,05,7.4,-3,1030.7,10,7.2,11.1,999.9,25,-2,0.02,14.2,0
2015-02-06,2015,02,06,17.5,7.9,1023.3,10,8.7,13.0,22,30.9,-2,0,14.2,0
2015-02-07,2015,02,07,29.1,24.3,1012.2,9.1,6.8,12.0,999.9,41,12.9,0,9.8,0
2015-02-08,2015,02,08,36,33.1,1004.5,5.8,6.6,18.1,24.1,41,18,0,7.9,0
2015-02-09,2015,02,09,25.6,22.3,1019.2,7.8,12.2,15.9,22,39,24.1,0.01,7.1,0
2015-02-10,2015,02,10,24.8,16.8,1023.9,10,6.4,9.9,999.9,33.1,14,0,5.9,0
2015-02-11,2015,02,11,30.6,22.8,1017.3,9.2,10.7,18.1,25.1,35.1,14,0,5.9,0
2015-02-12,2015,02,12,15.9,3.6,1025.9,9.7,14.2,21.0,28,35.1,8.1,0,5.1,0
2015-02-13,2015,02,13,11,1.8,1027,10,7.9,15.9,22,21.9,5,0,5.1,0
2015-02-14,2015,02,14,18.6,8.5,1017.7,8.7,15.2,29.9,41,27,5,0,5.1,0
2015-02-15,2015,02,15,4.5,-6.2,1033.8,8.3,10.3,15.9,999.9,27,-2.9,0,5.1,0
2015-02-16,2015,02,16,11.8,-1.9,1026.2,9.7,4.1,8.0,999.9,18,-2.9,0.03,5.1,0
2015-02-17,2015,02,17,16.5,6.6,1015.2,9,9.2,14.0,20,19,5,0,5.1,0
2015-02-18,2015,02,18,7.3,-3.3,1014.6,9.7,13.3,19.0,27,19,1.9,0,5.1,0
2015-02-19,2015,02,19,-1.8,-15,1027.6,9.8,12.0,15.0,22.9,8.1,-8,0,5.1,0
2015-02-20,2015,02,20,3.3,-6.4,1026,9.1,9.3,21.0,25.1,17.1,-8,0,5.1,0
2015-02-21,2015,02,21,21.7,12,1015,8.8,6.1,19.0,22.9,30.9,16,0.01,5.1,0
2015-02-22,2015,02,22,21.4,10.8,1026.9,9.1,8.9,15.0,999.9,32,10,0,5.1,0
2015-02-23,2015,02,23,4.2,-10.4,1038.9,10,9.4,15.0,17.1,10.9,-4,0,5.1,0
2015-02-24,2015,02,24,11.3,-0.3,1017.8,9.7,13.0,19.0,28.9,28.9,-4,0,5.1,0
2015-02-25,2015,02,25,21.1,7.5,1012.8,9.4,7.7,15.0,22,28.9,3.9,0.01,5.1,0
2015-02-26,2015,02,26,16.8,10.2,1023.9,3.4,10.6,17.1,20,26.1,10,0.31,9.8,1
2015-02-27,2015,02,27,6,-6.6,1034.1,10,8.3,12.0,999.9,19,-2,0.03,9.1,0
2015-02-28,2015,02,28,6,-4.6,1039.6,9.9,4.2,7.0,999.9,21,-9.9,0,7.9,0
2015-03-01,2015,03,01,18.3,12.8,1029.8,5.6,4.9,12.0,999.9,25,10,0.04,7.9,0
2015-03-02,2015,03,02,21.3,10.5,1030.7,10,7.1,11.1,999.9,33.1,10,0.02,7.9,0
2015-03-03,2015,03,03,28.2,22.2,1018.1,6.2,10.9,17.1,24.1,34,12.9,0.1,7.9,0
2015-03-04,2015,03,04,24.1,14.5,1016.8,10,11.4,17.1,27,34,16,0.03,7.1,0
2015-03-05,2015,03,05,11.6,-3.9,1030.4,10,9.4,13.0,15,30.9,3,0,7.1,0
2015-03-06,2015,03,06,12.4,2,1031.1,10,10.1,17.1,26,27,0,0,7.1,0
2015-03-07,2015,03,07,31.7,22,1018.9,9.3,9.9,15.0,21,43,25,0,5.1,0
2015-03-08,2015,03,08,34.9,27.1,1021.2,10,7.0,12.0,999.9,44.1,24.1,0,3.9,0
2015-03-09,2015,03,09,36.8,26.3,1021.2,9.9,4.6,8.9,999.9,50,25,0,2,0
2015-03-10,2015,03,10,40.5,36.1,1017,4,5.9,9.9,15.9,51.1,25,0,3.9,1
2015-03-11,2015,03,11,42.1,33.1,1022.3,6.3,6.7,12.0,999.9,51.1,30,0,999.9,0
2015-03-12,2015,03,12,41.8,26.4,1031.1,10,5.5,15.0,999.9,55.9,28,0,999.9,0
2015-03-13,2015,03,13,47,30.3,1023.5,10,5.8,12.0,999.9,64.9,28,0,999.9,0
2015-03-14,2015,03,14,51,37.4,1016.3,9.7,10.3,18.1,22,64.9,37,0,999.9,0
2015-03-15,2015,03,15,45.2,32,1021.9,10,7.1,17.1,26,62.1,28.9,0,999.9,0
2015-03-16,2015,03,16,58,37.1,1013.1,10,10.9,17.1,25.1,73,48.9,0,999.9,0
2015-03-17,2015,03,17,44.6,26.1,1021.7,10,15.3,26.0,35,73,35.1,0,999.9,0
2015-03-18,2015,03,18,36.8,14.7,1026.9,10,4.1,8.9,999.9,50,28,0,999.9,0
2015-03-19,2015,03,19,41.7,17.7,1024,10,6.5,15.0,999.9,50,28,0,999.9,0
2015-03-20,2015,03,20,42.5,30.3,1018.9,9.7,6.6,12.0,19,50,37,0,999.9,0
2015-03-21,2015,03,21,42.5,34.1,1018.7,7.9,9.9,15.0,20,50,36,0,999.9,0
2015-03-22,2015,03,22,32.4,21.6,1025.2,9.6,8.6,14.0,999.9,48.9,26.1,0,999.9,0
2015-03-23,2015,03,23,29.1,23.9,1025.2,5,10.0,14.0,22.9,35.1,26.1,0.26,5.1,1
2015-03-24,2015,03,24,29.7,20.6,1024.7,9.9,8.5,14.0,999.9,35.1,19,0.37,3.9,0
2015-03-25,2015,03,25,36.6,31.4,1014.9,6.5,11.0,18.1,24.1,41,35.1,0.29,2,0
2015-03-26,2015,03,26,36.7,27.5,1015.9,10,9.0,15.0,18.1,42.1,32,0.25,2,0
2015-03-27,2015,03,27,29,15.6,1020.3,8.8,11.6,15.0,25.1,42.1,21.9,0.04,1.2,0
2015-03-28,2015,03,28,26.8,11.3,1025.6,10,5.9,12.0,999.9,36,19.9,0.01,1.2,0
2015-03-29,2015,03,29,31.6,18.6,1019.9,9.5,12.8,26.0,32.1,46.9,19.9,0,999.9,0
2015-03-30,2015,03,30,46,30.5,1014.7,10,9.4,15.9,28.9,61,23.2,0.01,999.9,0
2015-03-31,2015,03,31,48.7,35.2,1010.7,9.5,8.5,15.0,26,61,34,0,999.9,0
2015-04-01,2015,04,01,51.9,35.1,1015,10,6.9,19.0,28.9,72,35.1,0,999.9,0
2015-04-02,2015,04,02,58.5,42.9,1007.3,9,13.0,19.0,24.1,72,35.1,0.11,999.9,0
2015-04-03,2015,04,03,50.1,30.9,1012.1,10,8.7,15.0,20,64.9,36,0.25,999.9,0
2015-04-04,2015,04,04,39.7,23.1,1022.7,10,10.1,19.0,31.1,57.9,28,0,999.9,0
2015-04-05,2015,04,05,53.5,23.8,1018.1,10,8.5,15.9,25.1,66,46,0,999.9,0
2015-04-06,2015,04,06,45.5,34.5,1015.8,10,5.1,11.1,999.9,66,34,0,999.9,0
2015-04-07,2015,04,07,40.4,35.9,1018.1,7.2,11.3,15.9,22,45,37.9,0.04,999.9,0
2015-04-08,2015,04,08,44.5,42.2,1014.6,3.2,8.2,17.1,22,50,37.9,0.02,999.9,1
2015-04-09,2015,04,09,50.5,48.2,1008.5,3.9,8.9,15.9,27,71.1,39.9,0.07,999.9,1
2015-04-10,2015,04,10,52.6,41.8,1006.4,10,18.5,28.0,40,71.1,39.9,1.37,999.9,0
2015-04-11,2015,04,11,47.7,33.4,1022,10,7.2,19.0,22.9,62.1,37.9,0,999.9,0
2015-04-12,2015,04,12,54.7,32.7,1019.7,10,8.7,15.9,19,68,37.9,0,999.9,0
2015-04-13,2015,04,13,60.1,40.3,1014.7,9.2,11.5,17.1,25.1,68,41,0.19,999.9,0
2015-04-14,2015,04,14,55.8,24.5,1022.8,10,4.8,8.9,999.9,66,39,0.03,999.9,0
2015-04-15,2015,04,15,54,24.6,1024,10,8.3,15.0,999.9,66,39,0,999.9,0
2015-04-16,2015,04,16,52.9,35.9,1020,9.2,7.2,11.1,999.9,66,43,0,999.9,0
2015-04-17,2015,04,17,60.2,44.3,1017.9,9.3,4.7,11.1,999.9,78.1,45,0,999.9,0
2015-04-18,2015,04,18,59.6,42.6,1016.8,9.9,7.5,18.1,24.1,78.1,45,0,999.9,0
2015-04-19,2015,04,19,55.6,34.7,1009.8,9.6,8.3,11.1,20,68,46.9,0,999.9,0
2015-04-20,2015,04,20,48.6,44.4,994.7,7.1,12.3,22.0,28.9,68,44.1,0.47,999.9,0
