"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","year","temp","dewp","max","min","sndp","NUM_CRIMES"
"1",0,0,0,0,1,0,0,0,0,0,0,0,2015,25.7,16,34,14,0,674
"2",0,0,0,0,1,0,0,0,0,0,0,0,2015,31.5,27,34,15.1,0,648
"3",0,0,0,0,1,0,0,0,0,0,0,0,2015,29,26.1,34,12.9,2,514
"4",0,0,0,0,1,0,0,0,0,0,0,0,2015,2.2,-7.4,12.9,-2.9,2,523
"5",0,0,0,0,1,0,0,0,0,0,0,0,2015,8.1,-0.5,18,-8,3.9,590
"6",0,0,0,0,1,0,0,0,0,0,0,0,2015,4.8,-3.9,19,-2,3.9,647
"7",0,0,0,0,1,0,0,0,0,0,0,0,2015,25.8,14.1,32,19,3.9,650
"8",0,0,0,0,1,0,0,0,0,0,0,0,2015,23.1,16.3,32,15.1,5.9,607
"9",0,0,0,0,1,0,0,0,0,0,0,0,2015,16.9,8.7,28,14,5.9,612
"10",0,0,0,0,1,0,0,0,0,0,0,0,2015,10.5,5.8,19,1,5.1,675
"11",0,0,0,0,1,0,0,0,0,0,0,0,2015,22,14.6,34,1,5.1,763
"12",0,0,0,0,1,0,0,0,0,0,0,0,2015,28.3,22.4,34,17.1,3.9,710
"13",0,0,0,0,1,0,0,0,0,0,0,0,2015,34.2,26.6,42.1,23,1.2,741
"14",0,0,0,0,1,0,0,0,0,0,0,0,2015,36.8,29.5,42.1,26.1,1.2,698
"15",0,0,0,0,1,0,0,0,0,0,0,0,2015,31.8,26.7,41,25,0,709
"16",0,0,0,0,1,0,0,0,0,0,0,0,2015,33.6,30.3,41,25,0,793
"17",0,0,0,0,1,0,0,0,0,0,0,0,2015,30.9,27.6,36,28.9,0,746
"18",0,0,0,0,1,0,0,0,0,0,0,0,2015,29.9,22.7,33.1,28,0,752
"19",0,0,0,0,1,0,0,0,0,0,0,0,2015,29.6,23,30.9,28,0,800
"20",0,0,0,0,1,0,0,0,0,0,0,0,2015,32.7,26.4,43,28.9,0,756
"21",0,0,0,0,1,0,0,0,0,0,0,0,2015,31.1,27.5,43,26.1,1.2,646
"22",0,0,0,0,1,0,0,0,0,0,0,0,2015,23.2,15.8,34,15.1,1.2,656
"23",0,0,0,0,1,0,0,0,0,0,0,0,2015,27.4,21.8,32,15.1,1.2,675
"24",0,0,0,0,1,0,0,0,0,0,0,0,2015,25.8,17.5,33.1,19,1.2,647
"25",0,0,0,0,1,0,0,0,0,0,0,0,2015,33.3,25.2,35.1,19,1.2,704
"26",0,0,0,0,1,0,0,0,0,0,0,0,2015,27,12.5,35.1,19,1.2,714
"27",0,0,0,0,1,0,0,0,0,0,0,0,2015,27,17.9,36,18,1.2,636
"28",0,0,0,1,0,0,0,0,0,0,0,0,2015,29.1,26.8,36,19,13,562
"29",0,0,0,1,0,0,0,0,0,0,0,0,2015,21.1,16.4,26.1,1.9,16.1,577
"30",0,0,0,1,0,0,0,0,0,0,0,0,2015,7.4,-3,25,-2,14.2,572
"31",0,0,0,1,0,0,0,0,0,0,0,0,2015,17.5,7.9,30.9,-2,14.2,696
"32",0,0,0,1,0,0,0,0,0,0,0,0,2015,29.1,24.3,41,12.9,9.8,679
"33",0,0,0,1,0,0,0,0,0,0,0,0,2015,36,33.1,41,18,7.9,615
