"","month","year","temp","dewp","max","min","sndp","NUM_CRIMES"
"1","Jan",2015,25.7,16,34,14,0,674
"2","Jan",2015,31.5,27,34,15.1,0,648
"3","Jan",2015,29,26.1,34,12.9,2,514
"4","Jan",2015,2.2,-7.4,12.9,-2.9,2,523
"5","Jan",2015,8.1,-0.5,18,-8,3.9,590
"6","Jan",2015,4.8,-3.9,19,-2,3.9,647
"7","Jan",2015,25.8,14.1,32,19,3.9,650
"8","Jan",2015,23.1,16.3,32,15.1,5.9,607
"9","Jan",2015,16.9,8.7,28,14,5.9,612
"10","Jan",2015,10.5,5.8,19,1,5.1,675
"11","Jan",2015,22,14.6,34,1,5.1,763
"12","Jan",2015,28.3,22.4,34,17.1,3.9,710
"13","Jan",2015,34.2,26.6,42.1,23,1.2,741
"14","Jan",2015,36.8,29.5,42.1,26.1,1.2,698
"15","Jan",2015,31.8,26.7,41,25,0,709
"16","Jan",2015,33.6,30.3,41,25,0,793
"17","Jan",2015,30.9,27.6,36,28.9,0,746
"18","Jan",2015,29.9,22.7,33.1,28,0,752
"19","Jan",2015,29.6,23,30.9,28,0,800
"20","Jan",2015,32.7,26.4,43,28.9,0,756
"21","Jan",2015,31.1,27.5,43,26.1,1.2,646
"22","Jan",2015,23.2,15.8,34,15.1,1.2,656
"23","Jan",2015,27.4,21.8,32,15.1,1.2,675
"24","Jan",2015,25.8,17.5,33.1,19,1.2,647
"25","Jan",2015,33.3,25.2,35.1,19,1.2,704
"26","Jan",2015,27,12.5,35.1,19,1.2,714
"27","Jan",2015,27,17.9,36,18,1.2,636
"28","Feb",2015,29.1,26.8,36,19,13,562
"29","Feb",2015,21.1,16.4,26.1,1.9,16.1,577
"30","Feb",2015,7.4,-3,25,-2,14.2,572
"31","Feb",2015,17.5,7.9,30.9,-2,14.2,696
"32","Feb",2015,29.1,24.3,41,12.9,9.8,679
"33","Feb",2015,36,33.1,41,18,7.9,615
"34","Feb",2015,25.6,22.3,39,24.1,7.1,607
"35","Feb",2015,24.8,16.8,33.1,14,5.9,629
"36","Feb",2015,30.6,22.8,35.1,14,5.9,606
"37","Feb",2015,15.9,3.6,35.1,8.1,5.1,611
"38","Feb",2015,11,1.8,21.9,5,5.1,632
"39","Feb",2015,18.6,8.5,27,5,5.1,597
"40","Feb",2015,4.5,-6.2,27,-2.9,5.1,552
"41","Feb",2015,11.8,-1.9,18,-2.9,5.1,539
"42","Feb",2015,16.5,6.6,19,5,5.1,597
"43","Feb",2015,3.3,-6.4,17.1,-8,5.1,651
"44","Feb",2015,21.7,12,30.9,16,5.1,652
"45","Feb",2015,21.4,10.8,32,10,5.1,593
"46","Feb",2015,4.2,-10.4,10.9,-4,5.1,572
"47","Feb",2015,11.3,-0.3,28.9,-4,5.1,628
"48","Feb",2015,21.1,7.5,28.9,3.9,5.1,572
"49","Feb",2015,16.8,10.2,26.1,10,9.8,518
"50","Feb",2015,6,-6.6,19,-2,9.1,638
"51","Feb",2015,6,-4.6,21,-9.9,7.9,545
