"","month","year","temp","dewp","max","min","NUM_CRIMES"
"1",1,2015,25.7,16,34,14,674
"2",1,2015,31.5,27,34,15.1,648
"3",1,2015,29,26.1,34,12.9,514
"4",1,2015,2.2,-7.4,12.9,-2.9,523
"5",1,2015,8.1,-0.5,18,-8,590
"6",1,2015,4.8,-3.9,19,-2,647
"7",1,2015,25.8,14.1,32,19,650
"8",1,2015,23.1,16.3,32,15.1,607
"9",1,2015,16.9,8.7,28,14,612
"10",1,2015,10.5,5.8,19,1,675
"11",1,2015,22,14.6,34,1,763
"12",1,2015,28.3,22.4,34,17.1,710
"13",1,2015,34.2,26.6,42.1,23,741
"14",1,2015,36.8,29.5,42.1,26.1,698
"15",1,2015,31.8,26.7,41,25,709
"16",1,2015,33.6,30.3,41,25,793
"17",1,2015,30.9,27.6,36,28.9,746
"18",1,2015,29.9,22.7,33.1,28,752
"19",1,2015,29.6,23,30.9,28,800
"20",1,2015,32.7,26.4,43,28.9,756
"21",1,2015,31.1,27.5,43,26.1,646
"22",1,2015,23.2,15.8,34,15.1,656
"23",1,2015,27.4,21.8,32,15.1,675
"24",1,2015,25.8,17.5,33.1,19,647
"25",1,2015,33.3,25.2,35.1,19,704
"26",1,2015,27,12.5,35.1,19,714
"27",1,2015,27,17.9,36,18,636
"28",2,2015,29.1,26.8,36,19,562
"29",2,2015,21.1,16.4,26.1,1.9,577
"30",2,2015,7.4,-3,25,-2,572
"31",2,2015,17.5,7.9,30.9,-2,696
"32",2,2015,29.1,24.3,41,12.9,679
"33",2,2015,36,33.1,41,18,615
"34",2,2015,25.6,22.3,39,24.1,607
"35",2,2015,24.8,16.8,33.1,14,629
"36",2,2015,30.6,22.8,35.1,14,606
"37",2,2015,15.9,3.6,35.1,8.1,611
"38",2,2015,11,1.8,21.9,5,632
"39",2,2015,18.6,8.5,27,5,597
"40",2,2015,4.5,-6.2,27,-2.9,552
"41",2,2015,11.8,-1.9,18,-2.9,539
"42",2,2015,16.5,6.6,19,5,597
"43",2,2015,3.3,-6.4,17.1,-8,651
"44",2,2015,21.7,12,30.9,16,652
"45",2,2015,21.4,10.8,32,10,593
"46",2,2015,4.2,-10.4,10.9,-4,572
"47",2,2015,11.3,-0.3,28.9,-4,628
"48",2,2015,21.1,7.5,28.9,3.9,572
"49",2,2015,16.8,10.2,26.1,10,518
"50",2,2015,6,-6.6,19,-2,638
"51",2,2015,6,-4.6,21,-9.9,545
"52",3,2015,18.3,12.8,25,10,759
"53",3,2015,21.3,10.5,33.1,10,658
"54",3,2015,28.2,22.2,34,12.9,636
"55",3,2015,24.1,14.5,34,16,562
"56",3,2015,11.6,-3.9,30.9,3,612
"57",3,2015,12.4,2,27,0,712
"58",3,2015,31.7,22,43,25,697
"59",3,2015,34.9,27.1,44.1,24.1,625
"60",3,2015,36.8,26.3,50,25,726
"61",3,2015,40.5,36.1,51.1,25,754
"62",3,2015,42.1,33.1,51.1,30,746
"63",3,2015,41.8,26.4,55.9,28,752
"64",3,2015,47,30.3,64.9,28,814
"65",3,2015,51,37.4,64.9,37,798
"66",3,2015,45.2,32,62.1,28.9,779
"67",3,2015,58,37.1,73,48.9,779
"68",3,2015,44.6,26.1,73,35.1,692
"69",3,2015,36.8,14.7,50,28,690
"70",3,2015,41.7,17.7,50,28,717
"71",3,2015,42.5,30.3,50,37,777
"72",3,2015,42.5,34.1,50,36,689
"73",3,2015,32.4,21.6,48.9,26.1,656
"74",3,2015,29.1,23.9,35.1,26.1,592
"75",3,2015,29.7,20.6,35.1,19,639
"76",3,2015,36.6,31.4,41,35.1,724
"77",3,2015,36.7,27.5,42.1,32,684
"78",3,2015,29,15.6,42.1,21.9,725
"79",3,2015,26.8,11.3,36,19.9,657
"80",3,2015,31.6,18.6,46.9,19.9,619
"81",3,2015,46,30.5,61,23.2,719
"82",3,2015,48.7,35.2,61,34,693
"83",4,2015,51.9,35.1,72,35.1,929
"84",4,2015,58.5,42.9,72,35.1,794
"85",4,2015,50.1,30.9,64.9,36,710
"86",4,2015,39.7,23.1,57.9,28,694
"87",4,2015,53.5,23.8,66,46,673
"88",4,2015,45.5,34.5,66,34,676
"89",4,2015,40.4,35.9,45,37.9,603
"90",4,2015,44.5,42.2,50,37.9,679
"91",4,2015,50.5,48.2,71.1,39.9,648
"92",4,2015,52.6,41.8,71.1,39.9,714
"93",4,2015,47.7,33.4,62.1,37.9,720
"94",4,2015,54.7,32.7,68,37.9,773
"95",4,2015,60.1,40.3,68,41,735
"96",4,2015,55.8,24.5,66,39,767
"97",4,2015,54,24.6,66,39,802
"98",4,2015,52.9,35.9,66,43,688
"99",4,2015,60.2,44.3,78.1,45,785
"100",4,2015,59.6,42.6,78.1,45,769
"101",4,2015,55.6,34.7,68,46.9,703
"102",4,2015,48.6,44.4,68,44.1,743
"103",4,2015,44.3,29,54,39,663
"104",4,2015,39.7,23.7,54,34,682
"105",4,2015,42.3,21.3,55,32,731
"106",4,2015,44.2,23,57,28.9,761
"107",4,2015,43.5,37.2,57,28.9,695
"108",4,2015,44.8,28.7,55.9,35.1,718
"109",4,2015,46.3,30.2,55.9,35.1,721
"110",4,2015,46.3,33.7,57.9,35.1,719
"111",4,2015,49.7,34.3,61,35.1,766
"112",4,2015,45.6,33.9,61,37.9,666
"113",5,2015,62.1,38.1,75.9,37.9,687
"114",5,2015,67.4,42.6,78.1,50,745
"115",5,2015,65.1,54.6,78.1,55,779
"116",5,2015,52.1,45.6,73.9,48,697
"117",5,2015,55.6,50.9,77,46,739
"118",5,2015,66.9,52,82.9,46,826
"119",5,2015,71.1,60.7,82.9,52,807
"120",5,2015,59.5,56.2,81,52,685
"121",5,2015,48.5,45.8,64,45,741
"122",5,2015,56.4,52.7,68,44.6,749
"123",5,2015,52,39.5,68,46.9,757
"124",5,2015,47.6,34.7,55.9,39.9,768
"125",5,2015,52.2,38.8,66,39.9,755
"126",5,2015,63.2,56.8,75.9,43,822
"127",5,2015,69,62.5,79,57,882
"128",5,2015,72.3,65,82,62.1,836
"129",5,2015,72.1,58.3,82,63,758
"130",5,2015,50.4,36.9,77,46,708
"131",5,2015,43.5,30.2,53.1,39,730
"132",5,2015,51.8,37.7,69.1,39,745
"133",5,2015,58.8,35.1,69.1,45,824
"134",5,2015,61.8,35.6,80.1,46,798
"135",5,2015,66.1,49.3,80.1,46,687
"136",5,2015,70.4,62.1,78.1,59,708
"137",5,2015,70.6,62.5,78.1,64,770
"138",5,2015,68.4,59.1,73.9,64,738
"139",5,2015,69.5,54.3,82,54,800
"140",5,2015,72.1,60.3,82,54,828
"141",5,2015,64.4,58.8,80.1,46.4,719
"142",5,2015,47.5,39.5,54,42.1,666
"143",6,2015,55.5,40.1,70,42.1,772
"144",6,2015,62.3,49.2,77,42.1,778
"145",6,2015,68.2,56.7,81,50,721
"146",6,2015,65.3,56.7,80.1,55.4,786
"147",6,2015,60.1,50,70,51.8,758
"148",6,2015,65.7,57.7,81,52,739
"149",6,2015,73.1,63.8,84,55,682
"150",6,2015,69.7,56.2,84.9,60.1,732
"151",6,2015,80.2,62.3,91.9,60.1,793
"152",6,2015,68.9,57,75.9,63,804
"153",6,2015,61.5,59,72,57.9,828
"154",6,2015,66.1,60.5,84.9,55.4,813
"155",6,2015,73.3,67.9,86,55.9,795
"156",6,2015,74.8,69.9,82.9,68,739
"157",6,2015,68.6,58.7,80.1,64,847
"158",6,2015,61.3,51,72,55.9,722
"159",6,2015,71.6,65.4,79,55.9,768
"160",6,2015,60.8,50.8,79,54,774
"161",6,2015,62.8,53.5,78.1,53.1,766
"162",6,2015,73.5,64.7,84,53.1,783
"163",6,2015,75.2,69.2,84,66,780
"164",6,2015,75.3,59.3,82.9,66,732
"165",6,2015,70.2,56.5,82,60.1,728
"166",6,2015,70.7,64,79,60.1,784
"167",6,2015,63.1,58.8,79,60.1,784
"168",6,2015,64,52.1,75.9,55.9,723
"169",6,2015,67.5,51,79,54,797
"170",6,2015,68.1,61.6,79,54,752
"171",6,2015,68.1,61.4,77,62.1,749
"172",7,2015,60.7,52.7,69.1,55.4,889
"173",7,2015,59.3,51.8,69.1,53.1,757
"174",7,2015,64.2,51.9,77,53.1,768
"175",7,2015,69.7,54.4,81,55,845
"176",7,2015,72.4,58.4,82.9,59,898
"177",7,2015,74.2,64.9,84.9,60.1,757
"178",7,2015,67.3,58.1,84.9,57,701
"179",7,2015,59.7,50.2,71.1,54,718
"180",7,2015,63.6,56,77,54,672
"181",7,2015,69,56.5,82.9,57.9,739
"182",7,2015,70.4,57.8,82.9,59,798
"183",7,2015,73.6,65.6,82.9,61,801
"184",7,2015,75.7,68.2,86,68,782
"185",7,2015,76.2,66.4,86,68,711
"186",7,2015,65.8,53.1,82.9,59,795
"187",7,2015,66,56.4,75,57.9,673
"188",7,2015,77.3,70.9,91.9,57.9,825
"189",7,2015,78.7,71.4,91.9,71.1,776
"190",7,2015,79.4,69.6,89.1,73,764
"191",7,2015,74.5,62,84.9,63,778
"192",7,2015,74.9,58.2,84.9,63,777
"193",7,2015,73.6,55.9,82.9,64,774
"194",7,2015,74.4,56.6,84.9,63,810
"195",7,2015,75.2,60.1,84.9,63,867
"196",7,2015,79.5,67.1,91,64,832
"197",7,2015,74.7,65.5,91,64,802
"198",7,2015,77.2,64,88,64,835
"199",7,2015,79.4,66.6,91,66.9,767
"200",7,2015,81.3,66,91,66.9,764
"201",7,2015,77.1,55.3,88,64.9,775
"202",7,2015,78.2,56.4,88,64.9,782
"203",8,2015,79.6,65.4,91,64,822
"204",8,2015,75.7,60.1,91,66.9,729
"205",8,2015,72.2,53.5,82,61,761
