"","month","year","temp","dewp","sndp","NUM_CRIMES"
"1","Jan",2015,25.7,16,0,674
"2","Jan",2015,31.5,27,0,648
"3","Jan",2015,29,26.1,2,514
"4","Jan",2015,2.2,-7.4,2,523
"5","Jan",2015,8.1,-0.5,3.9,590
"6","Jan",2015,4.8,-3.9,3.9,647
"7","Jan",2015,25.8,14.1,3.9,650
"8","Jan",2015,23.1,16.3,5.9,607
"9","Jan",2015,16.9,8.7,5.9,612
"10","Jan",2015,10.5,5.8,5.1,675
"11","Jan",2015,22,14.6,5.1,763
"12","Jan",2015,28.3,22.4,3.9,710
"13","Jan",2015,34.2,26.6,1.2,741
"14","Jan",2015,36.8,29.5,1.2,698
"15","Jan",2015,31.8,26.7,0,709
"16","Jan",2015,33.6,30.3,0,793
"17","Jan",2015,30.9,27.6,0,746
"18","Jan",2015,29.9,22.7,0,752
"19","Jan",2015,29.6,23,0,800
"20","Jan",2015,32.7,26.4,0,756
"21","Jan",2015,31.1,27.5,1.2,646
"22","Jan",2015,23.2,15.8,1.2,656
"23","Jan",2015,27.4,21.8,1.2,675
"24","Jan",2015,25.8,17.5,1.2,647
"25","Jan",2015,33.3,25.2,1.2,704
"26","Jan",2015,27,12.5,1.2,714
"27","Jan",2015,27,17.9,1.2,636
"28","Feb",2015,29.1,26.8,13,562
"29","Feb",2015,21.1,16.4,16.1,577
"30","Feb",2015,7.4,-3,14.2,572
"31","Feb",2015,17.5,7.9,14.2,696
"32","Feb",2015,29.1,24.3,9.8,679
"33","Feb",2015,36,33.1,7.9,615
"34","Feb",2015,25.6,22.3,7.1,607
"35","Feb",2015,24.8,16.8,5.9,629
"36","Feb",2015,30.6,22.8,5.9,606
"37","Feb",2015,15.9,3.6,5.1,611
"38","Feb",2015,11,1.8,5.1,632
"39","Feb",2015,18.6,8.5,5.1,597
"40","Feb",2015,4.5,-6.2,5.1,552
"41","Feb",2015,11.8,-1.9,5.1,539
"42","Feb",2015,16.5,6.6,5.1,597
"43","Feb",2015,3.3,-6.4,5.1,651
"44","Feb",2015,21.7,12,5.1,652
"45","Feb",2015,21.4,10.8,5.1,593
"46","Feb",2015,4.2,-10.4,5.1,572
"47","Feb",2015,11.3,-0.3,5.1,628
"48","Feb",2015,21.1,7.5,5.1,572
"49","Feb",2015,16.8,10.2,9.8,518
"50","Feb",2015,6,-6.6,9.1,638
"51","Feb",2015,6,-4.6,7.9,545
"52","Mar",2015,18.3,12.8,7.9,759
"53","Mar",2015,21.3,10.5,7.9,658
"54","Mar",2015,28.2,22.2,7.9,636
"55","Mar",2015,24.1,14.5,7.1,562
"56","Mar",2015,11.6,-3.9,7.1,612
"57","Mar",2015,12.4,2,7.1,712
"58","Mar",2015,31.7,22,5.1,697
"59","Mar",2015,34.9,27.1,3.9,625
"60","Mar",2015,36.8,26.3,2,726
"61","Mar",2015,40.5,36.1,3.9,754
"62","Mar",2015,42.1,33.1,0,746
"63","Mar",2015,41.8,26.4,0,752
"64","Mar",2015,47,30.3,0,814
"65","Mar",2015,51,37.4,0,798
"66","Mar",2015,45.2,32,0,779
"67","Mar",2015,58,37.1,0,779
"68","Mar",2015,44.6,26.1,0,692
"69","Mar",2015,36.8,14.7,0,690
"70","Mar",2015,41.7,17.7,0,717
"71","Mar",2015,42.5,30.3,0,777
