"","month","year","temp","dewp","NUM_CRIMES"
"1","Jan",2015,25.7,16,674
"2","Jan",2015,31.5,27,648
"3","Jan",2015,29,26.1,514
"4","Jan",2015,2.2,-7.4,523
"5","Jan",2015,8.1,-0.5,590
"6","Jan",2015,4.8,-3.9,647
"7","Jan",2015,25.8,14.1,650
"8","Jan",2015,23.1,16.3,607
"9","Jan",2015,16.9,8.7,612
"10","Jan",2015,10.5,5.8,675
"11","Jan",2015,22,14.6,763
"12","Jan",2015,28.3,22.4,710
"13","Jan",2015,34.2,26.6,741
"14","Jan",2015,36.8,29.5,698
"15","Jan",2015,31.8,26.7,709
"16","Jan",2015,33.6,30.3,793
"17","Jan",2015,30.9,27.6,746
"18","Jan",2015,29.9,22.7,752
"19","Jan",2015,29.6,23,800
"20","Jan",2015,32.7,26.4,756
"21","Jan",2015,31.1,27.5,646
"22","Jan",2015,23.2,15.8,656
"23","Jan",2015,27.4,21.8,675
"24","Jan",2015,25.8,17.5,647
"25","Jan",2015,33.3,25.2,704
"26","Jan",2015,27,12.5,714
"27","Jan",2015,27,17.9,636
"28","Feb",2015,29.1,26.8,562
"29","Feb",2015,21.1,16.4,577
"30","Feb",2015,7.4,-3,572
"31","Feb",2015,17.5,7.9,696
"32","Feb",2015,29.1,24.3,679
"33","Feb",2015,36,33.1,615
"34","Feb",2015,25.6,22.3,607
"35","Feb",2015,24.8,16.8,629
"36","Feb",2015,30.6,22.8,606
"37","Feb",2015,15.9,3.6,611
"38","Feb",2015,11,1.8,632
"39","Feb",2015,18.6,8.5,597
"40","Feb",2015,4.5,-6.2,552
"41","Feb",2015,11.8,-1.9,539
"42","Feb",2015,16.5,6.6,597
"43","Feb",2015,3.3,-6.4,651
"44","Feb",2015,21.7,12,652
"45","Feb",2015,21.4,10.8,593
"46","Feb",2015,4.2,-10.4,572
"47","Feb",2015,11.3,-0.3,628
"48","Feb",2015,21.1,7.5,572
"49","Feb",2015,16.8,10.2,518
"50","Feb",2015,6,-6.6,638
"51","Feb",2015,6,-4.6,545
"52","Mar",2015,18.3,12.8,759
"53","Mar",2015,21.3,10.5,658
"54","Mar",2015,28.2,22.2,636
"55","Mar",2015,24.1,14.5,562
"56","Mar",2015,11.6,-3.9,612
"57","Mar",2015,12.4,2,712
"58","Mar",2015,31.7,22,697
"59","Mar",2015,34.9,27.1,625
"60","Mar",2015,36.8,26.3,726
"61","Mar",2015,40.5,36.1,754
"62","Mar",2015,42.1,33.1,746
"63","Mar",2015,41.8,26.4,752
"64","Mar",2015,47,30.3,814
"65","Mar",2015,51,37.4,798
"66","Mar",2015,45.2,32,779
"67","Mar",2015,58,37.1,779
"68","Mar",2015,44.6,26.1,692
"69","Mar",2015,36.8,14.7,690
"70","Mar",2015,41.7,17.7,717
"71","Mar",2015,42.5,30.3,777
"72","Mar",2015,42.5,34.1,689
"73","Mar",2015,32.4,21.6,656
"74","Mar",2015,29.1,23.9,592
"75","Mar",2015,29.7,20.6,639
"76","Mar",2015,36.6,31.4,724
"77","Mar",2015,36.7,27.5,684
"78","Mar",2015,29,15.6,725
"79","Mar",2015,26.8,11.3,657
"80","Mar",2015,31.6,18.6,619
"81","Mar",2015,46,30.5,719
"82","Mar",2015,48.7,35.2,693
