"","temp","dewp","max","min","NUM_CRIMES"
"2",25.7,16,34,14,674
"3",31.5,27,34,15.1,648
"4",29,26.1,34,12.9,514
"5",2.2,-7.4,12.9,-2.9,523
"6",5.3,-0.9,10,-5.1,503
"7",3.1,-7.6,10,-5.1,474
"8",-2.1,-10.2,10.9,-8,448
"9",8.1,-0.5,18,-8,590
"10",4.8,-3.9,19,-2,647
"11",25.8,14.1,32,19,650
"12",23.1,16.3,32,15.1,607
"13",16.9,8.7,28,14,612
"14",10.5,5.8,19,1,675
"15",22,14.6,34,1,763
"16",28.3,22.4,34,17.1,710
"17",34.2,26.6,42.1,23,741
"18",36.8,29.5,42.1,26.1,698
"19",31.8,26.7,41,25,709
"20",33.6,30.3,41,25,793
"21",30.9,27.6,36,28.9,746
"22",29.9,22.7,33.1,28,752
"23",29.6,23,30.9,28,800
"24",32.7,26.4,43,28.9,756
"25",31.1,27.5,43,26.1,646
"26",23.2,15.8,34,15.1,656
"27",27.4,21.8,32,15.1,675
"28",25.8,17.5,33.1,19,647
"29",33.3,25.2,35.1,19,704
"30",27,12.5,35.1,19,714
"31",27,17.9,36,18,636
"32",29.1,26.8,36,19,562
"33",14.5,8.5,30.9,6.1,473
"34",13.5,7.2,24.1,1.9,512
"35",21.1,16.4,26.1,1.9,577
"36",7.4,-3,25,-2,572
"37",17.5,7.9,30.9,-2,696
"38",29.1,24.3,41,12.9,679
"39",36,33.1,41,18,615
"40",25.6,22.3,39,24.1,607
"41",24.8,16.8,33.1,14,629
"42",30.6,22.8,35.1,14,606
"43",15.9,3.6,35.1,8.1,611
"44",11,1.8,21.9,5,632
"45",18.6,8.5,27,5,597
"46",4.5,-6.2,27,-2.9,552
"47",11.8,-1.9,18,-2.9,539
"48",16.5,6.6,19,5,597
"49",7.3,-3.3,19,1.9,511
"50",-1.8,-15,8.1,-8,463
"51",3.3,-6.4,17.1,-8,651
"52",21.7,12,30.9,16,652
"53",21.4,10.8,32,10,593
"54",4.2,-10.4,10.9,-4,572
"55",11.3,-0.3,28.9,-4,628
"56",21.1,7.5,28.9,3.9,572
"57",16.8,10.2,26.1,10,518
"58",6,-6.6,19,-2,638
"59",6,-4.6,21,-9.9,545
