"","temp","dewp","slp","wdsp","max","min","sndp","NUM_CRIMES"
"2",25.7,16,1023.3,5.1,34,14,0,674
"3",31.5,27,1017.7,4.6,34,15.1,0,648
"4",29,26.1,1012.9,10.3,34,12.9,2,514
"5",2.2,-7.4,1034.9,12.4,12.9,-2.9,2,523
"9",8.1,-0.5,1022.9,15.5,18,-8,3.9,590
"10",4.8,-3.9,1030.4,10.5,19,-2,3.9,647
"11",25.8,14.1,1025.1,9.4,32,19,3.9,650
"12",23.1,16.3,1031.9,9.1,32,15.1,5.9,607
"13",16.9,8.7,1039,8.9,28,14,5.9,612
"14",10.5,5.8,1030,4.4,19,1,5.1,675
"15",22,14.6,1019.9,8.5,34,1,5.1,763
"16",28.3,22.4,1019.5,6.7,34,17.1,3.9,710
"17",34.2,26.6,1010.3,12.3,42.1,23,1.2,741
"18",36.8,29.5,1007.4,11.6,42.1,26.1,1.2,698
"19",31.8,26.7,1015.5,4.3,41,25,0,709
"20",33.6,30.3,1012.7,5.7,41,25,0,793
"21",30.9,27.6,1017.3,7.4,36,28.9,0,746
"22",29.9,22.7,1028.4,5.6,33.1,28,0,752
"23",29.6,23,1024.1,9.9,30.9,28,0,800
"24",32.7,26.4,1008.2,8.2,43,28.9,0,756
"25",31.1,27.5,1008,10.9,43,26.1,1.2,646
"26",23.2,15.8,1014.7,6.6,34,15.1,1.2,656
"27",27.4,21.8,1018.7,5.6,32,15.1,1.2,675
"28",25.8,17.5,1024.1,6.3,33.1,19,1.2,647
"29",33.3,25.2,1012.6,12.4,35.1,19,1.2,704
"30",27,12.5,1029.9,9,35.1,19,1.2,714
"31",27,17.9,1025.9,5.9,36,18,1.2,636
"32",29.1,26.8,1016.3,11,36,19,13,562
"35",21.1,16.4,1019.5,6.8,26.1,1.9,16.1,577
"36",7.4,-3,1030.7,7.2,25,-2,14.2,572
"37",17.5,7.9,1023.3,8.7,30.9,-2,14.2,696
"38",29.1,24.3,1012.2,6.8,41,12.9,9.8,679
"39",36,33.1,1004.5,6.6,41,18,7.9,615
"40",25.6,22.3,1019.2,12.2,39,24.1,7.1,607
"41",24.8,16.8,1023.9,6.4,33.1,14,5.9,629
"42",30.6,22.8,1017.3,10.7,35.1,14,5.9,606
"43",15.9,3.6,1025.9,14.2,35.1,8.1,5.1,611
"44",11,1.8,1027,7.9,21.9,5,5.1,632
"45",18.6,8.5,1017.7,15.2,27,5,5.1,597
"46",4.5,-6.2,1033.8,10.3,27,-2.9,5.1,552
"47",11.8,-1.9,1026.2,4.1,18,-2.9,5.1,539
"48",16.5,6.6,1015.2,9.2,19,5,5.1,597
"51",3.3,-6.4,1026,9.3,17.1,-8,5.1,651
"52",21.7,12,1015,6.1,30.9,16,5.1,652
