"","temp","dewp","slp","wdsp","NUM_CRIMES"
"2",25.7,16,1023.3,5.1,674
"3",31.5,27,1017.7,4.6,648
"4",29,26.1,1012.9,10.3,514
"5",2.2,-7.4,1034.9,12.4,523
"9",8.1,-0.5,1022.9,15.5,590
"10",4.8,-3.9,1030.4,10.5,647
"11",25.8,14.1,1025.1,9.4,650
"12",23.1,16.3,1031.9,9.1,607
"13",16.9,8.7,1039,8.9,612
"14",10.5,5.8,1030,4.4,675
"15",22,14.6,1019.9,8.5,763
"16",28.3,22.4,1019.5,6.7,710
"17",34.2,26.6,1010.3,12.3,741
"18",36.8,29.5,1007.4,11.6,698
"19",31.8,26.7,1015.5,4.3,709
"20",33.6,30.3,1012.7,5.7,793
"21",30.9,27.6,1017.3,7.4,746
"22",29.9,22.7,1028.4,5.6,752
"23",29.6,23,1024.1,9.9,800
"24",32.7,26.4,1008.2,8.2,756
"25",31.1,27.5,1008,10.9,646
"26",23.2,15.8,1014.7,6.6,656
"27",27.4,21.8,1018.7,5.6,675
"28",25.8,17.5,1024.1,6.3,647
"29",33.3,25.2,1012.6,12.4,704
"30",27,12.5,1029.9,9,714
"31",27,17.9,1025.9,5.9,636
"32",29.1,26.8,1016.3,11,562
"35",21.1,16.4,1019.5,6.8,577
"36",7.4,-3,1030.7,7.2,572
"37",17.5,7.9,1023.3,8.7,696
"38",29.1,24.3,1012.2,6.8,679
"39",36,33.1,1004.5,6.6,615
"40",25.6,22.3,1019.2,12.2,607
"41",24.8,16.8,1023.9,6.4,629
"42",30.6,22.8,1017.3,10.7,606
"43",15.9,3.6,1025.9,14.2,611
"44",11,1.8,1027,7.9,632
"45",18.6,8.5,1017.7,15.2,597
"46",4.5,-6.2,1033.8,10.3,552
"47",11.8,-1.9,1026.2,4.1,539
"48",16.5,6.6,1015.2,9.2,597
"51",3.3,-6.4,1026,9.3,651
"52",21.7,12,1015,6.1,652
"53",21.4,10.8,1026.9,8.9,593
"54",4.2,-10.4,1038.9,9.4,572
"55",11.3,-0.3,1017.8,13,628
"56",21.1,7.5,1012.8,7.7,572
"57",16.8,10.2,1023.9,10.6,518
"58",6,-6.6,1034.1,8.3,638
"59",6,-4.6,1039.6,4.2,545
"60",18.3,12.8,1029.8,4.9,759
"61",21.3,10.5,1030.7,7.1,658
"62",28.2,22.2,1018.1,10.9,636
"63",24.1,14.5,1016.8,11.4,562
"64",11.6,-3.9,1030.4,9.4,612
"65",12.4,2,1031.1,10.1,712
"66",31.7,22,1018.9,9.9,697
"67",34.9,27.1,1021.2,7,625
"68",36.8,26.3,1021.2,4.6,726
"69",40.5,36.1,1017,5.9,754
"70",42.1,33.1,1022.3,6.7,746
"71",41.8,26.4,1031.1,5.5,752
"72",47,30.3,1023.5,5.8,814
"73",51,37.4,1016.3,10.3,798
"74",45.2,32,1021.9,7.1,779
"75",58,37.1,1013.1,10.9,779
"76",44.6,26.1,1021.7,15.3,692
"77",36.8,14.7,1026.9,4.1,690
"78",41.7,17.7,1024,6.5,717
