"","temp","dewp","NUM_CRIMES"
"2",25.7,16,674
"3",31.5,27,648
"4",29,26.1,514
"5",2.2,-7.4,523
"9",8.1,-0.5,590
"10",4.8,-3.9,647
"11",25.8,14.1,650
"12",23.1,16.3,607
"13",16.9,8.7,612
"14",10.5,5.8,675
"15",22,14.6,763
"16",28.3,22.4,710
"17",34.2,26.6,741
"18",36.8,29.5,698
"19",31.8,26.7,709
"20",33.6,30.3,793
"21",30.9,27.6,746
"22",29.9,22.7,752
"23",29.6,23,800
"24",32.7,26.4,756
"25",31.1,27.5,646
"26",23.2,15.8,656
"27",27.4,21.8,675
"28",25.8,17.5,647
"29",33.3,25.2,704
"30",27,12.5,714
"31",27,17.9,636
"32",29.1,26.8,562
"35",21.1,16.4,577
"36",7.4,-3,572
"37",17.5,7.9,696
"38",29.1,24.3,679
"39",36,33.1,615
"40",25.6,22.3,607
"41",24.8,16.8,629
"42",30.6,22.8,606
"43",15.9,3.6,611
"44",11,1.8,632
"45",18.6,8.5,597
"46",4.5,-6.2,552
"47",11.8,-1.9,539
"48",16.5,6.6,597
"51",3.3,-6.4,651
"52",21.7,12,652
"53",21.4,10.8,593
"54",4.2,-10.4,572
"55",11.3,-0.3,628
"56",21.1,7.5,572
"57",16.8,10.2,518
"58",6,-6.6,638
"59",6,-4.6,545
"60",18.3,12.8,759
"61",21.3,10.5,658
"62",28.2,22.2,636
"63",24.1,14.5,562
"64",11.6,-3.9,612
"65",12.4,2,712
"66",31.7,22,697
"67",34.9,27.1,625
"68",36.8,26.3,726
"69",40.5,36.1,754
"70",42.1,33.1,746
"71",41.8,26.4,752
"72",47,30.3,814
"73",51,37.4,798
"74",45.2,32,779
"75",58,37.1,779
"76",44.6,26.1,692
"77",36.8,14.7,690
"78",41.7,17.7,717
"79",42.5,30.3,777
"80",42.5,34.1,689
"81",32.4,21.6,656
"82",29.1,23.9,592
"83",29.7,20.6,639
"84",36.6,31.4,724
"85",36.7,27.5,684
"86",29,15.6,725
"87",26.8,11.3,657
"88",31.6,18.6,619
"89",46,30.5,719
"90",48.7,35.2,693
"91",51.9,35.1,929
"92",58.5,42.9,794
"93",50.1,30.9,710
"94",39.7,23.1,694
"95",53.5,23.8,673
"96",45.5,34.5,676
"97",40.4,35.9,603
"98",44.5,42.2,679
"99",50.5,48.2,648
"100",52.6,41.8,714
"101",47.7,33.4,720
"102",54.7,32.7,773
"103",60.1,40.3,735
"104",55.8,24.5,767
"105",54,24.6,802
"106",52.9,35.9,688
"107",60.2,44.3,785
"108",59.6,42.6,769
"109",55.6,34.7,703
"110",48.6,44.4,743
"111",44.3,29,663
"112",39.7,23.7,682
"113",42.3,21.3,731
"114",44.2,23,761
"115",43.5,37.2,695
"116",44.8,28.7,718
"117",46.3,30.2,721
"118",46.3,33.7,719
"119",49.7,34.3,766
"120",45.6,33.9,666
"122",62.1,38.1,687
"123",67.4,42.6,745
"124",65.1,54.6,779
"125",52.1,45.6,697
"126",55.6,50.9,739
"127",66.9,52,826
"128",71.1,60.7,807
"129",59.5,56.2,685
"130",48.5,45.8,741
"131",56.4,52.7,749
"132",52,39.5,757
"133",47.6,34.7,768
"134",52.2,38.8,755
"135",63.2,56.8,822
"136",69,62.5,882
"137",72.3,65,836
"138",72.1,58.3,758
"139",50.4,36.9,708
"140",43.5,30.2,730
"141",51.8,37.7,745
"142",58.8,35.1,824
"143",61.8,35.6,798
"144",66.1,49.3,687
"145",70.4,62.1,708
"146",70.6,62.5,770
"147",68.4,59.1,738
"148",69.5,54.3,800
"149",72.1,60.3,828
"150",64.4,58.8,719
"151",47.5,39.5,666
"153",55.5,40.1,772
"154",62.3,49.2,778
"155",68.2,56.7,721
"156",65.3,56.7,786
"157",60.1,50,758
"158",65.7,57.7,739
"159",73.1,63.8,682
"160",69.7,56.2,732
"161",80.2,62.3,793
"162",68.9,57,804
"163",61.5,59,828
"164",66.1,60.5,813
"165",73.3,67.9,795
"166",74.8,69.9,739
"167",68.6,58.7,847
"168",61.3,51,722
"169",71.6,65.4,768
"170",60.8,50.8,774
