"","temp","sndp","NUM_CRIMES"
"2",25.7,0,674
"3",31.5,0,648
"4",29,2,514
"5",2.2,2,523
"6",5.3,3.1,503
"7",3.1,3.1,474
"8",-2.1,3.9,448
"9",8.1,3.9,590
"10",4.8,3.9,647
"11",25.8,3.9,650
"12",23.1,5.9,607
"13",16.9,5.9,612
"14",10.5,5.1,675
"15",22,5.1,763
"16",28.3,3.9,710
"17",34.2,1.2,741
"18",36.8,1.2,698
"19",31.8,0,709
"20",33.6,0,793
"21",30.9,0,746
"22",29.9,0,752
"23",29.6,0,800
"24",32.7,0,756
"25",31.1,1.2,646
"26",23.2,1.2,656
"27",27.4,1.2,675
"28",25.8,1.2,647
"29",33.3,1.2,704
"30",27,1.2,714
"31",27,1.2,636
"32",29.1,13,562
"33",14.5,16.9,473
"34",13.5,16.9,512
"35",21.1,16.1,577
"36",7.4,14.2,572
"37",17.5,14.2,696
"38",29.1,9.8,679
"39",36,7.9,615
"40",25.6,7.1,607
"41",24.8,5.9,629
"42",30.6,5.9,606
"43",15.9,5.1,611
"44",11,5.1,632
"45",18.6,5.1,597
"46",4.5,5.1,552
"47",11.8,5.1,539
"48",16.5,5.1,597
"49",7.3,5.1,511
"50",-1.8,5.1,463
"51",3.3,5.1,651
"52",21.7,5.1,652
"53",21.4,5.1,593
"54",4.2,5.1,572
"55",11.3,5.1,628
"56",21.1,5.1,572
"57",16.8,9.8,518
"58",6,9.1,638
"59",6,7.9,545
"60",18.3,7.9,759
"61",21.3,7.9,658
"62",28.2,7.9,636
"63",24.1,7.1,562
"64",11.6,7.1,612
"65",12.4,7.1,712
"66",31.7,5.1,697
"67",34.9,3.9,625
"68",36.8,2,726
"69",40.5,3.9,754
"70",42.1,0,746
"71",41.8,0,752
"72",47,0,814
"73",51,0,798
"74",45.2,0,779
"75",58,0,779
"76",44.6,0,692
"77",36.8,0,690
"78",41.7,0,717
"79",42.5,0,777
"80",42.5,0,689
"81",32.4,0,656
"82",29.1,5.1,592
"83",29.7,3.9,639
"84",36.6,2,724
"85",36.7,2,684
"86",29,1.2,725
"87",26.8,1.2,657
"88",31.6,0,619
"89",46,0,719
"90",48.7,0,693
"91",51.9,0,929
"92",58.5,0,794
"93",50.1,0,710
"94",39.7,0,694
"95",53.5,0,673
"96",45.5,0,676
"97",40.4,0,603
"98",44.5,0,679
"99",50.5,0,648
"100",52.6,0,714
"101",47.7,0,720
"102",54.7,0,773
"103",60.1,0,735
"104",55.8,0,767
"105",54,0,802
"106",52.9,0,688
"107",60.2,0,785
"108",59.6,0,769
"109",55.6,0,703
"110",48.6,0,743
"111",44.3,0,663
"112",39.7,0,682
"113",42.3,0,731
"114",44.2,0,761
"115",43.5,0,695
"116",44.8,0,718
"117",46.3,0,721
"118",46.3,0,719
"119",49.7,0,766
"120",45.6,0,666
"121",50,0,954
"122",62.1,0,687
"123",67.4,0,745
"124",65.1,0,779
"125",52.1,0,697
"126",55.6,0,739
"127",66.9,0,826
"128",71.1,0,807
"129",59.5,0,685
"130",48.5,0,741
"131",56.4,0,749
"132",52,0,757
"133",47.6,0,768
"134",52.2,0,755
"135",63.2,0,822
"136",69,0,882
"137",72.3,0,836
"138",72.1,0,758
"139",50.4,0,708
"140",43.5,0,730
"141",51.8,0,745
"142",58.8,0,824
"143",61.8,0,798
"144",66.1,0,687
"145",70.4,0,708
"146",70.6,0,770
"147",68.4,0,738
"148",69.5,0,800
"149",72.1,0,828
"150",64.4,0,719
"151",47.5,0,666
"152",51.2,0,954
"153",55.5,0,772
"154",62.3,0,778
"155",68.2,0,721
"156",65.3,0,786
"157",60.1,0,758
"158",65.7,0,739
"159",73.1,0,682
"160",69.7,0,732
"161",80.2,0,793
"162",68.9,0,804
"163",61.5,0,828
"164",66.1,0,813
"165",73.3,0,795
"166",74.8,0,739
"167",68.6,0,847
"168",61.3,0,722
"169",71.6,0,768
"170",60.8,0,774
"171",62.8,0,766
"172",73.5,0,783
"173",75.2,0,780
"174",75.3,0,732
"175",70.2,0,728
"176",70.7,0,784
"177",63.1,0,784
"178",64,0,723
"179",67.5,0,797
"180",68.1,0,752
"181",68.1,0,749
"182",60.7,0,889
"183",59.3,0,757
"184",64.2,0,768
"185",69.7,0,845
"186",72.4,0,898
"187",74.2,0,757
"188",67.3,0,701
"189",59.7,0,718
"190",63.6,0,672
"191",69,0,739
"192",70.4,0,798
"193",73.6,0,801
"194",75.7,0,782
"195",76.2,0,711
"196",65.8,0,795
"197",66,0,673
"198",77.3,0,825
"199",78.7,0,776
"200",79.4,0,764
"201",74.5,0,778
"202",74.9,0,777
"203",73.6,0,774
"204",74.4,0,810
"205",75.2,0,867
"206",79.5,0,832
"207",74.7,0,802
"208",77.2,0,835
"209",79.4,0,767
"210",81.3,0,764
"211",77.1,0,775
"212",78.2,0,782
"213",75.5,0,1044
"214",79.6,0,822
"215",75.7,0,729
"216",72.2,0,761
"217",72.7,0,772
"218",73.3,0,809
"219",73.2,0,839
"220",75.3,0,849
"221",71.8,0,745
"222",75.1,0,809
"223",72.9,0,791
"224",71.2,0,760
"225",73.8,0,784
"226",78.2,0,808
"227",76.6,0,826
"228",78.7,0,865
"229",78.6,0,741
"230",73.6,0,762
"231",71.7,0,793
"232",64.8,0,839
"233",68.7,0,858
"234",72.1,0,845
"235",71.5,0,806
"236",65,0,724
"237",63.4,0,767
"238",61.9,0,792
"239",63.1,0,764
"240",65.5,0,806
"241",67.6,0,761
"242",68.4,0,800
