"","temp","NUM_CRIMES"
"2",25.7,674
"3",31.5,648
"4",29,514
"5",2.2,523
"6",5.3,503
"7",3.1,474
"8",-2.1,448
"9",8.1,590
"10",4.8,647
"11",25.8,650
"12",23.1,607
"13",16.9,612
"14",10.5,675
"15",22,763
"16",28.3,710
"17",34.2,741
"18",36.8,698
"19",31.8,709
"20",33.6,793
"21",30.9,746
"22",29.9,752
"23",29.6,800
"24",32.7,756
"25",31.1,646
"26",23.2,656
"27",27.4,675
"28",25.8,647
"29",33.3,704
"30",27,714
"31",27,636
"32",29.1,562
"33",14.5,473
"34",13.5,512
"35",21.1,577
"36",7.4,572
"37",17.5,696
"38",29.1,679
"39",36,615
"40",25.6,607
"41",24.8,629
"42",30.6,606
"43",15.9,611
"44",11,632
"45",18.6,597
"46",4.5,552
"47",11.8,539
"48",16.5,597
"49",7.3,511
"50",-1.8,463
"51",3.3,651
"52",21.7,652
"53",21.4,593
"54",4.2,572
"55",11.3,628
"56",21.1,572
"57",16.8,518
"58",6,638
"59",6,545
"60",18.3,759
"61",21.3,658
"62",28.2,636
"63",24.1,562
"64",11.6,612
"65",12.4,712
"66",31.7,697
"67",34.9,625
"68",36.8,726
"69",40.5,754
"70",42.1,746
"71",41.8,752
"72",47,814
"73",51,798
"74",45.2,779
"75",58,779
"76",44.6,692
"77",36.8,690
"78",41.7,717
"79",42.5,777
"80",42.5,689
"81",32.4,656
"82",29.1,592
"83",29.7,639
"84",36.6,724
"85",36.7,684
"86",29,725
"87",26.8,657
"88",31.6,619
"89",46,719
"90",48.7,693
"91",51.9,929
"92",58.5,794
"93",50.1,710
"94",39.7,694
"95",53.5,673
"96",45.5,676
"97",40.4,603
"98",44.5,679
"99",50.5,648
"100",52.6,714
"101",47.7,720
"102",54.7,773
"103",60.1,735
"104",55.8,767
"105",54,802
"106",52.9,688
"107",60.2,785
"108",59.6,769
"109",55.6,703
"110",48.6,743
"111",44.3,663
"112",39.7,682
"113",42.3,731
"114",44.2,761
"115",43.5,695
"116",44.8,718
"117",46.3,721
"118",46.3,719
"119",49.7,766
"120",45.6,666
"121",50,954
"122",62.1,687
"123",67.4,745
"124",65.1,779
"125",52.1,697
"126",55.6,739
"127",66.9,826
"128",71.1,807
"129",59.5,685
"130",48.5,741
"131",56.4,749
"132",52,757
"133",47.6,768
"134",52.2,755
"135",63.2,822
"136",69,882
"137",72.3,836
"138",72.1,758
"139",50.4,708
"140",43.5,730
"141",51.8,745
"142",58.8,824
"143",61.8,798
"144",66.1,687
"145",70.4,708
"146",70.6,770
"147",68.4,738
"148",69.5,800
"149",72.1,828
"150",64.4,719
"151",47.5,666
"152",51.2,954
"153",55.5,772
"154",62.3,778
"155",68.2,721
"156",65.3,786
"157",60.1,758
"158",65.7,739
"159",73.1,682
"160",69.7,732
"161",80.2,793
"162",68.9,804
"163",61.5,828
"164",66.1,813
"165",73.3,795
"166",74.8,739
"167",68.6,847
"168",61.3,722
"169",71.6,768
"170",60.8,774
"171",62.8,766
"172",73.5,783
